match,team,opponent,team_score,opponent_score,result
AthleticClub_AtleticoMadrid,AthleticClub,AtleticoMadrid,0.0,2.0,loss
AtleticoMadrid_AthleticClub,AtleticoMadrid,AthleticClub,2.0,0.0,win
AtleticoMadrid_AthleticClub,AtleticoMadrid,AthleticClub,2.0,0.0,win
AthleticClub_AtleticoMadrid,AthleticClub,AtleticoMadrid,0.0,2.0,loss
CeltaVigo_RealSociedad,CeltaVigo,RealSociedad,1.0,2.0,loss
RealSociedad_CeltaVigo,RealSociedad,CeltaVigo,2.0,1.0,win
RealSociedad_CeltaVigo,RealSociedad,CeltaVigo,2.0,1.0,win
CeltaVigo_RealSociedad,CeltaVigo,RealSociedad,1.0,2.0,loss
RealMadrid_Barcelona,RealMadrid,Barcelona,4.0,2.0,win
Barcelona_RealMadrid,Barcelona,RealMadrid,2.0,4.0,loss
Barcelona_RealMadrid,Barcelona,RealMadrid,2.0,4.0,loss
RealMadrid_Barcelona,RealMadrid,Barcelona,4.0,2.0,win
Espanyol_RealValladolid,Espanyol,RealValladolid,2.0,0.0,win
RealValladolid_Espanyol,RealValladolid,Espanyol,0.0,2.0,loss
RealValladolid_Espanyol,RealValladolid,Espanyol,0.0,2.0,loss
Espanyol_RealValladolid,Espanyol,RealValladolid,2.0,0.0,win
RealBetis_Almeria,RealBetis,Almeria,4.0,2.0,win
Almeria_RealBetis,Almeria,RealBetis,2.0,4.0,loss
Almeria_RealBetis,Almeria,RealBetis,2.0,4.0,loss
RealBetis_Almeria,RealBetis,Almeria,4.0,2.0,win
Villarreal_Osasuna,Villarreal,Osasuna,3.0,1.0,win
Osasuna_Villarreal,Osasuna,Villarreal,1.0,3.0,loss
Osasuna_Villarreal,Osasuna,Villarreal,1.0,3.0,loss
Villarreal_Osasuna,Villarreal,Osasuna,3.0,1.0,win
Sevilla_Valencia,Sevilla,Valencia,1.0,2.0,draw
Valencia_Sevilla,Valencia,Sevilla,2.0,1.0,draw
Valencia_Sevilla,Valencia,Sevilla,2.0,1.0,draw
Sevilla_Valencia,Sevilla,Valencia,1.0,2.0,draw
Getafe_AthleticClub,Getafe,AthleticClub,2.0,3.0,draw
AthleticClub_Getafe,AthleticClub,Getafe,3.0,2.0,draw
AthleticClub_Getafe,AthleticClub,Getafe,3.0,2.0,draw
Getafe_AthleticClub,Getafe,AthleticClub,2.0,3.0,draw
AtleticoMadrid_RayoVallecano,AtleticoMadrid,RayoVallecano,2.0,2.0,draw
RayoVallecano_AtleticoMadrid,RayoVallecano,AtleticoMadrid,2.0,2.0,draw
RayoVallecano_AtleticoMadrid,RayoVallecano,AtleticoMadrid,2.0,2.0,draw
AtleticoMadrid_RayoVallecano,AtleticoMadrid,RayoVallecano,2.0,2.0,draw
Cadiz_RealBetis,Cadiz,RealBetis,1.0,1.0,draw
RealBetis_Cadiz,RealBetis,Cadiz,1.0,1.0,draw
RealBetis_Cadiz,RealBetis,Cadiz,1.0,1.0,draw
Cadiz_RealBetis,Cadiz,RealBetis,1.0,1.0,draw
RealValladolid_CeltaVigo,RealValladolid,CeltaVigo,5.0,2.0,win
CeltaVigo_RealValladolid,CeltaVigo,RealValladolid,2.0,5.0,loss
CeltaVigo_RealValladolid,CeltaVigo,RealValladolid,2.0,5.0,loss
RealValladolid_CeltaVigo,RealValladolid,CeltaVigo,5.0,2.0,win
RealSociedad_Mallorca,RealSociedad,Mallorca,1.0,0.0,win
Mallorca_RealSociedad,Mallorca,RealSociedad,0.0,1.0,loss
Mallorca_RealSociedad,Mallorca,RealSociedad,0.0,1.0,loss
RealSociedad_Mallorca,RealSociedad,Mallorca,1.0,0.0,win
